A,B,C,D,E,F,G
02/03/2020,1,1,1,1,0,0
14/03/2020,1,2,0,1,0,0
15/03/2020,1,3,0,1,0,0
16/03/2020,1,4,0,1,0,0
17/03/2020,1,5,0,1,0,0
18/03/2020,8,13,0,1,0,0
19/03/2020,3,16,0,1,0,0
20/03/2020,1,17,0,1,0,0
21/03/2020,2,19,0,1,0,0
22/03/2020,5,24,0,1,0,0
23/03/2020,5,29,0,1,0,0
24/03/2020,2,31,0,1,0,0
25/03/2020,2,33,0,1,0,0
26/03/2020,3,36,0,1,0,0
05/04/2020,51,87,0,1,0,0
07/04/2020,17,104,0,1,0,0
