A,B,C,D,E,F,G
20/03/2020,3,3,1,1,0,0
21/03/2020,2,5,0,1,0,0
22/03/2020,3,8,0,1,0,0
23/03/2020,6,14,0,1,0,0
28/03/2020,3,17,0,1,0,0
29/03/2020,4,21,0,1,0,0
30/03/2020,1,22,0,1,0,0
31/03/2020,1,23,0,1,0,0
01/04/2020,8,31,0,1,0,0
03/04/2020,7,38,0,1,0,0
04/04/2020,7,45,0,1,0,0
05/04/2020,8,53,0,1,0,0
06/04/2020,11,64,0,1,0,0
07/04/2020,19,83,0,1,0,0
