A,B,C,D,E,F,G
22/03/2020,1,1,0,0,0,0
25/03/2020,1,2,0,0,0,0
27/03/2020,1,3,0,0,0,0
02/04/2020,5,8,0,0,0,0
04/04/2020,7,15,0,0,0,0
05/04/2020,3,18,0,0,0,0
06/04/2020,43,61,0,0,0,0
07/04/2020,24,85,0,0,0,0
