A,B,C,D,E,F,G
10/03/2020,1,1,1,1,0,0
14/03/2020,1,2,0,1,0,0
19/03/2020,2,4,0,1,0,0
20/03/2020,2,6,0,1,0,0
26/03/2020,1,7,0,1,0,0
27/03/2020,1,8,0,1,0,0
30/03/2020,10,18,0,1,0,0
31/03/2020,1,19,0,1,0,0
01/04/2020,13,32,0,1,0,0
02/04/2020,7,39,0,1,0,0
03/04/2020,14,53,0,1,0,0
05/04/2020,39,92,0,1,0,0
06/04/2020,8,100,0,1,0,0
07/04/2020,6,106,0,1,0,0
08/04/2020,12,118,0,1,0,0
